name,religion_origin,religion_current,type,country,continent,latitude,longitude,height_m,construction_start,construction_end,destruction_year,construction_timeline,status,tallest_in_world,notes,source1,source2,source3
Great Mosque of Algiers (Djamaa el Djazaïr),Islamic,Islamic,mosque,Algeria,Africa,36.7347212,3.138562431,265,2012,2019,,2012:2019:265,standing,no,Tallest minaret in the world,https://en.wikipedia.org/wiki/Djamaa_el_Djaza%C3%AFr,,
Hassan II Mosque,Islamic,Islamic,mosque,Morocco,Africa,33.60808325,-7.632685606,210,1986,1993,,1986:1993:210,standing,no,Minaret 210 m,https://en.wikipedia.org/wiki/Hassan_II_Mosque,,
Sagrada Família,Christian (Catholic),Christian (Catholic),cathedral,Spain,Europe,41.40339416,2.174334338,172,1882,2026,,1882:2026:172,standing,no,Still under construction; will reach 172 m,https://en.wikipedia.org/wiki/Sagrada_Fam%C3%ADlia,,
Ulm Minster,Christian (Protestant),Christian (Protestant),cathedral,Germany,Europe,48.39832562,9.992467223,161.5,1377,1890,,1377:1890:161.5,standing,no,Tallest church in the world today,https://en.wikipedia.org/wiki/Ulm_Minster,,
Lincoln Cathedral,Christian (Catholic),Christian (Anglican),cathedral,United Kingdom,Europe,53.23438004,-0.53646239,160,1072,1311,1548,1072:1311:160;1549:1550:83,destroyed - collapse due to storm,yes,Central spire collapsed; height 160m,https://en.wikipedia.org/wiki/Lincoln_Cathedral,,
"St. Olaf's Church, Tallinn",Christian (Catholic),Christian (Lutheran),cathedral,Estonia,Europe,59.44133294,24.74754164,159,1267,1549,1625,1267:1549:159;1626:1628:124,destroyed - lighting and fire,yes,Height disputed 159m; tallest 1549=1625,"https://en.wikipedia.org/wiki/St._Olaf%27s_Church,_Tallinn",https://www.lonelyplanet.com/estonia/tallinn/old-town/attractions/st-olaf-s-church/a/poi-sig/1275608/1342792,https://medievalheritage.eu/en/main-page/heritage/estonia/tallinn-st-olafs-church-oleviste-kirik/
Basilica of Our Lady of Peace,Christian (Catholic),Christian (Catholic),cathedral,Ivory Coast,Africa,6.811031681,-5.29700818,158,1985,1989,,1985:1989:158,standing,no,Tallest cathedral in Africa,https://en.wikipedia.org/wiki/Basilica_of_Our_Lady_of_Peace,,
Cologne Cathedral,Christian (Catholic),Christian (Catholic),cathedral,Germany,Europe,50.94122347,6.958012268,157,1248,1880,,1248:1880:157,standing,no,Tallest building 1880-1884,https://en.wikipedia.org/wiki/Cologne_Cathedral,,
Spring Temple Buddha,Buddhist,Buddhist,statue,China,Asia,33.72506744,112.267464,153,1997,2008,,1997:2008:153,standing,no,,https://en.wikipedia.org/wiki/Spring_Temple_Buddha,,
Beauvais Cathedral - St-Pierre,Christian (Catholic),Christian (Catholic),cathedral,France,Europe,49.43248209,2.081154244,153,1225,1569,1573,1225:1569:153;1570:1575:67,destroyed - collapse,no,Unfinished; vaults collapsed; would have been tallest,https://en.wikipedia.org/wiki/Beauvais_Cathedral,https://www.mdpi.com/2571-9408/8/6/203,
"St. Mary's Church, Stralsund",Christian (Catholic),Christian (Lutheran),cathedral,Germany,Europe,54.3099824,13.088166,151,1384,1478,1647,1384:1478:151;1648:1708:104,destroyed - lighting and fire,yes,Tallest building 1549-1647,"https://en.wikipedia.org/wiki/St._Mary%27s_Church,_Stralsund",https://www.stralsundtourismus.de/en/poi/marienkirche-stralsund,
Great Pyramid of Giza,Ancient Egyptian,none,pyramid,Egypt,Africa,29.97906881,31.13422309,146.6,-2580,-2560,1303,-2580:-2560:146.6;1304:1305:138.8,ruined,yes,Originally ~146.6 m; now ~138.8 m,https://en.wikipedia.org/wiki/Giza_pyramid_complex,https://www.nature.com/articles/s40494-020-0356-9,https://www.worldhistory.org/timeline/pyramid/
Great Pyramid of Khafre,Ancient Egyptian,none,pyramid,Egypt,Africa,29.97565015,31.13072835,143.5,-2550,-2530,1303,-2550:-2530:143.5;1304:1305:136.4,ruined,no,Originally ~143.5 m; now ~136.4 m,https://en.wikipedia.org/wiki/Giza_pyramid_complex,https://www.nature.com/articles/s40494-020-0356-9,https://www.worldhistory.org/timeline/pyramid/
Strasbourg Cathedral,Christian (Catholic),Christian (Catholic),cathedral,France,Europe,48.58174236,7.750793291,142,1015,1439,,1015:1439:142,standing,yes,Tallest building 1647-1874,https://en.wikipedia.org/wiki/Strasbourg_Cathedral,,
Sultan Salahuddin Abdul Aziz Mosque,Islamic,Islamic,mosque,Malaysia,Asia,3.078540181,101.5204065,142,1982,1988,,1982:1988:142,standing,no,Blue Mosque; dome 106.7 m,https://en.wikipedia.org/wiki/Sultan_Salahuddin_Abdul_Aziz_Mosque,,
Basilica of Our Lady of Licheń,Christian (Catholic),Christian (Catholic),cathedral,Poland,Europe,52.32308617,18.35869541,141,1994,2004,,1994:2004:141,standing,no,One of the tallest modern churches,https://en.wikipedia.org/wiki/Basilica_of_Our_Lady_of_Liche%C5%84,,
Masjid al-Haram,Islamic,Islamic,mosque,Saudi Arabia,Asia,21.42281873,39.82540255,139,700,2026,,700:2026:139,standing,no,Previous minarets 89m. Current ones still under construction,https://en.wikipedia.org/wiki/Masjid_al-Haram,,
St. Peter's Basilica,Christian (Catholic),Christian (Catholic),cathedral,Vatican City,Europe,41.9020615,12.45332135,136.6,1506,1626,,1506:1626:136.6,standing,no,Dome height 136.6 m,https://en.wikipedia.org/wiki/St._Peter%27s_Basilica,,
Chung Tai Chan Monastery,Buddhist,Buddhist,temple,Taiwan,Asia,24.00903616,120.9444002,136,1990,2001,,1990:2001:136,standing,no,,https://en.wikipedia.org/wiki/Chung_Tai_Chan_Monastery,,
St. Stephen's Cathedral (Vienna),Christian (Catholic),Christian (Catholic),cathedral,Austria,Europe,48.20856441,16.37301297,136,1137,1433,,1137:1433:136,standing,no,South tower 136m. Construction of North tower continued to 1578 but much smaller,"https://en.wikipedia.org/wiki/St._Stephen%27s_Cathedral,_Vienna",,
Grand Mosalla of Tehran,Islamic,Islamic,mosque,Iran,Asia,35.73395935,51.42448503,135,1990,2030,,1990:2030:135,standing,no,Still partially incomplete. No estimates availiable so 2030 seems sensible,https://en.wikipedia.org/wiki/Grand_Mosalla_of_Tehran,,
Rouen Cathedral,Christian (Catholic),Christian (Catholic),cathedral,France,Europe,49.44027549,1.09462794,128,1030,1557,1822,1030:1557:128;1823:1876:151,destroyed - lighting and fire,no,Tallest building 1876-1880,https://en.wikipedia.org/wiki/Rouen_Cathedral,https://frenchmoments.eu/rouen-cathedral/,
Cathedral of Maringá,Christian (Catholic),Christian (Catholic),cathedral,Brazil,South America,-23.42643286,-51.9384097,124,1959,1972,,1959:1972:124,standing,no,Conical cathedral 124 m,https://en.wikipedia.org/wiki/Cathedral_of_Maring%C3%A1,,
Salisbury Cathedral,Christian (Catholic),Christian (Anglican),cathedral,United Kingdom,Europe,51.0650134,-1.797857587,123,1220,1330,,1220:1330:123,standing,no,tallest cathedral in world from 1569-1573,https://en.wikipedia.org/wiki/Salisbury_Cathedral#Building_and_architecture,,
"St. Nikolai Church, Hamburg",Christian (Catholic),Christian (Lutheran),cathedral,Germany,Europe,53.54760541,9.990706672,122,1189,1517,1842,1189:1517:122;1843:1874:147,standing,yes,Destroyed in WWII; spire remains - paired with coventry,"https://en.wikipedia.org/wiki/St._Nicholas_Church,_Hamburg",,
Great Stupa of Jetavanaramaya,Buddhist,Buddhist,stupa,Sri Lanka,Asia,8.351460666,80.40365993,122,290,305,1215,290:305:122;1153:1186:71,Destroyed by Kalinga Magha,no,Started by King Mahasena of Anuradhapura and finished by his son. No sources for exact dates but 15 year period is mentioned,https://en.wikipedia.org/wiki/Jetavanaramaya,https://en.wikipedia.org/wiki/Kalinga_Magha,https://ceylonhistory.com/en/stories/jetavanaramaya/
Ushiki Daibutsu,Buddhist,Buddhist,statue,Japan,Asia,35.98254564,140.2203034,120,1986,1992,,1986:1992:120,standing,no,,https://en.wikipedia.org/wiki/Ushiku_Daibutsu,"https://japantravel.navitime.com/en/area/jp/guide/NTJtrv1518-en/#:~:text=%E5%BA%83%E5%91%8A%E6%8E%B2%E8%BC%89%E3%81%AB%E3%81%A4%E3%81%84%E3%81%A6-,Pure%20Land%20of%20Paradise,statue%20for%20an%20extra%20fee.",
Potala Palace,Buddhist,Buddhist,temple,China,Asia,29.65669415,91.1178591,119,1645,1694,,1645:1694:119,standing,no,Height includes entire palace mass,https://en.wikipedia.org/wiki/Potala_Palace,,
Laykyun Sekkya,Buddhist,Buddhist,statue,Myanmar,Asia,22.07995194,95.2889371,116,1996,2008,,1996:2008:116,standing,no,,https://en.wikipedia.org/wiki/Laykyun_Sekkya,,
Abhayagiri Dagoba,Buddhist,Buddhist,stupa,Sri Lanka,Asia,8.370708126,80.39549626,115,112,134,800,112:134:115;1882:2015:75,ruined - invaders cause collapse,no,Height disputed; originally 115 m,https://en.wikipedia.org/wiki/Abhayagiri_Vih%C4%81ra,https://www.proquest.com/openview/60b5ffb1d4d998b5797626bfa8897a23/1?pq-origsite=gscholar&cbl=1817606,https://mapacademy.io/article/abhayagiri-vihara-anuradhapura/
Florence Cathedral (Santa Maria del Fiore),Christian (Catholic),Christian (Catholic),cathedral,Italy,Europe,43.77301332,11.25664782,114,1296,1436,,1296:1436:114,standing,no,Dome height ~114 m,https://en.wikipedia.org/wiki/Florence_Cathedral,,
Mosque of Sheikh Ibrahim Al-Ibrahim,Islamic,Islamic,mosque,Venezuela,South America,10.5018212,-66.89536889,113,1989,1993,,1989:1993:113,standing,no,Tallest mosque in Latin America,https://en.wikipedia.org/wiki/Mosque_of_Sheikh_Ibrahim_Al-Ibrahim,,
Vishwas Swaroopam,Hindu,Hindu,statue,India,Asia,24.92031081,73.81718969,112,2013,2019,,2013:2019:112,standing,no,,https://en.wikipedia.org/wiki/Statue_of_Belief,,
Shwedagon Pagoda,Buddhist,Buddhist,stupa,Myanmar,Asia,16.79789214,96.14949059,112,1362,1775,,1362:1775:112,standing,no,Height includes spire; rebuilt multiple times,https://en.wikipedia.org/wiki/Shwedagon_Pagoda,,
St. Paul's Cathedral (London),Christian (Anglican),Christian (Anglican),cathedral,United Kingdom,Europe,51.51353695,-0.098507538,111,1675,1710,,1675:1710:111,standing,no,Tallest building in London 1710-1963,https://en.wikipedia.org/wiki/St_Paul%27s_Cathedral,,
Basilica of Our Lady of Aparecida,Christian (Catholic),Christian (Catholic),cathedral,Brazil,South America,-22.85096752,-45.23391452,109,1955,1980,,1955:1980:109,standing,no,Height 109 m,https://en.wikipedia.org/wiki/Basilica_of_Our_Lady_of_Aparecida,,
Milan Cathedral (Duomo),Christian (Catholic),Christian (Catholic),cathedral,Italy,Europe,45.46402832,9.191195218,108,1386,1762,,1386:1762:108,standing,no,Completion date is for Madonnina spire 108m. Cathedral completion in 1965,https://en.wikipedia.org/wiki/Milan_Cathedral,,
Çamlıca Mosque,Islamic,Islamic,mosque,Turkey,Asia,41.03362826,29.07058443,107,2013,2019,,2013:2019:107,standing,no,Largest mosque in Turkey,https://en.wikipedia.org/wiki/%C3%87aml%C4%B1ca_Mosque,https://bianet.org/haber/groundbreaking-for-camlica-mosque-despite-ongoing-trial-149046,
Chartres Cathedral,Christian (Catholic),Christian (Catholic),cathedral,France,Europe,48.44758825,1.487448593,105,1126,1170,1506,1126:1170:105;1507:1513:113,lighting destroys north tower,no,South tower 105m,https://en.wikipedia.org/wiki/Chartres_Cathedral,,
Seville Cathedral,Christian (Catholic),Christian (Catholic),cathedral,Spain,Europe,37.38561126,-5.993304863,105,1401,1519,,1401:1519:105,standing,no,Largest Gothic cathedral,https://en.wikipedia.org/wiki/Seville_Cathedral,,
Prophet's Mosque (Al Masjid-e-Nabawi),Islamic,Islamic,mosque,Saudi Arabia,Asia,24.46751875,39.61023309,105,623,1994,,623:1994:105,standing,no,Modern minarets ~105m,https://en.wikipedia.org/wiki/Prophet%27s_Mosque,,
Sheikh Zayed Grand Mosque,Islamic,Islamic,mosque,UAE,Asia,24.41250092,54.47542634,104,1996,2007,,1996:2007:104,standing,no,Four minarets at 107 m,https://en.wikipedia.org/wiki/Sheikh_Zayed_Grand_Mosque,,
"Cathedral of Christ the Saviour, Moscow",Christian (Orthodox),Christian (Orthodox),cathedral,Russia,Europe,55.74439189,37.60509389,103,1839,1883,1931,1839:1883:103;1995:2000:103,Destroyed by soviets,no,Rebuilt 1995-2000,https://en.wikipedia.org/wiki/Cathedral_of_Christ_the_Saviour,https://www.dw.com/en/why-moscows-most-iconic-church-used-to-be-a-swimming-pool/a-19566508,
St. Vitus Cathedral,Christian (Catholic),Christian (Catholic),cathedral,Czech Republic,Europe,50.09089304,14.40020666,102,1344,1929,,1344:1929:102,standing,no,"South tower (102m) completed in late 16th century, but no date given. Height disputed between 97.5 and 102m",https://en.wikipedia.org/wiki/St._Vitus_Cathedral,https://storyofprague.cz/blog/st-vitus-cathedral/,
St. Joseph's Oratory,Christian (Catholic),Christian (Catholic),cathedral,Canada,North America,45.4920538,-73.616683,102,1914,1967,,1914:1967:102,standing,no,Dome height ~97 m,https://en.wikipedia.org/wiki/Saint_Joseph%27s_Oratory,,
Liverpool Cathedral,Christian (Anglican),Christian (Anglican),cathedral,United Kingdom,Europe,53.39730396,-2.973167855,101,1904,1978,,1904:1978:101,standing,no,Height ~101 m,https://en.wikipedia.org/wiki/Liverpool_Cathedral,,
St. Isaac's Cathedral,Christian (Orthodox),Christian (Orthodox),cathedral,Russia,Europe,59.93819426,30.30802231,101,1818,1858,,1818:1858:101,standing,no,Dome height ~101 m,https://en.wikipedia.org/wiki/Saint_Isaac%27s_Cathedral,"https://tmora.org/online-exhibitions/imperial-st-petersburg-architectural-visions/academy-of-fine-arts/st-isaacs-cathedral/#:~:text=At%20333%20feet%2C%20St.,12%20x%2018%20in..",
"St. Patrick's Cathedral, New York",Christian (Catholic),Christian (Catholic),cathedral,United States,North America,40.75843871,-73.97625328,100,1858,1878,,1858:1878:100,standing,no,Twin spires 100 m,https://en.wikipedia.org/wiki/St._Patrick%27s_Cathedral_(New_York_City),,
Sabancı Merkez Mosque,Islamic,Islamic,mosque,Turkey,Asia,36.99130469,35.33392357,99,1988,1998,,1988:1998:99,standing,no,One of the largest mosques in Turkey,https://en.wikipedia.org/wiki/Sabanc%C4%B1_Merkez_Mosque,,
Norwich Cathedral,Christian (Catholic),Christian (Anglican),cathedral,United Kingdom,Europe,52.63189396,1.300859915,96,1096,1485,,1096:1485:96,standing,no,,https://en.wikipedia.org/wiki/Norwich_Cathedral,,
Washington National Cathedral,Christian (Episcopal),Christian (Episcopal),cathedral,United States,North America,38.93049815,-77.07127631,92,1907,1990,,1907:1990:92,standing,no,Height ~91 m,https://en.wikipedia.org/wiki/Washington_National_Cathedral,,
Jameh Mosque of Makki,Islamic,Islamic,mosque,Iran,Asia,29.48872674,60.85393006,92,1971,2010,,1971:2010:92,standing,no,Tallest mosque in southeastern Iran,https://en.wikipedia.org/wiki/Jameh_Mosque_of_Makki,,
Faisal Mosque. Islamabad,Islamic,Islamic,mosque,Pakistan,Asia,33.72930604,73.03770134,90,1976,1986,,1976:1986:90,standing,no,Minarets 90 m,https://en.wikipedia.org/wiki/Faisal_Mosque,,
"St Mary's Cathedral, Edinburgh",Christian (Episcopal),Christian (Episcopal),cathedral,United Kingdom,Europe,55.94841222,-3.216534842,90,1874,1917,,1874:1917:90,standing,no,,"https://en.wikipedia.org/wiki/St_Mary%27s_Cathedral,_Edinburgh_(Episcopal)",,
Sultan Qaboos Grand Mosque,Islamic,Islamic,mosque,Oman,Asia,23.58379524,58.38819596,90,1994,2001,,1994:2001:90,standing,no,Main mosque of Oman,https://en.wikipedia.org/wiki/Sultan_Qaboos_Grand_Mosque,,
Trinity Lavra of St. Sergius,Christian (Orthodox),Christian (Orthodox),cathedral,Russia,Europe,56.3104389,38.1307662,88,1740,1770,,1740:1770:88,standing,no,Height ~88 m,https://en.wikipedia.org/wiki/Trinity_Lavra_of_St._Sergius,https://web.archive.org/web/20050909215714/http://www.musobl.divo.ru/belfry_e.html,
Coventry Cathedral,Christian (Catholic),Christian (Anglican),cathedral,United Kingdom,Europe,52.40799231,-1.508014316,88,1138,1450,,1138:1450:88,standing - tower only,no,Destroyed in 1940 Coventry Blitz. Only spire remains,https://en.wikipedia.org/wiki/Coventry_Cathedral,"https://www.historiccoventry.co.uk/cathedrals/oldcathedral.php?pg=spire#:~:text=The%20tower%20was%20added%20to,King%20Henry%20VI%20in%201450.",
Kocatepe Mosque,Islamic,Islamic,mosque,Turkey,Asia,39.91648066,32.86052588,88,1967,1987,,1967:1987:88,standing,no,Ottoman revival style,https://en.wikipedia.org/wiki/Kocatepe_Mosque,,
Abdülhamid Han Mosque,Islamic,Islamic,mosque,Turkey,Asia,37.58085026,36.90956967,88,1993,2011,,1993:2011:88,standing,no,,https://en.wikipedia.org/wiki/Abd%C3%BClhamid_Han_Mosque,,
Westminster Cathedral,Christian (Catholic),Christian (Catholic),cathedral,United Kingdom,Europe,51.49560415,-0.139416368,87,1895,1903,,1895:1903:87,standing,no,,https://en.wikipedia.org/wiki/Westminster_Cathedral,,
Maltepe Merkez Mosque,Islamic,Islamic,mosque,Turkey,Asia,39.92470177,32.84718775,87,1954,1959,,1954:1959:87,standing,no,,https://en.wikipedia.org/wiki/Maltepe_Mosque,,
Holy Trinity Cathedral of Tbilisi,Christian (Orthodox),Christian (Orthodox),cathedral,Georgia,Asia,41.69739479,44.81580832,86,1995,2004,,1995:2004:86,standing,no,,https://en.wikipedia.org/wiki/Holy_Trinity_Cathedral_of_Tbilisi,,
Wat Arun,Buddhist,Buddhist,temple,Thailand,Asia,13.74368145,100.4889347,86,1656,1851,,1650:1851:86,standing,no,Height ~86 m,https://en.wikipedia.org/wiki/Wat_Arun,,
Liverpool Metropolitan Cathedral,Christian (Catholic),Christian (Catholic),cathedral,United Kingdom,Europe,53.40461082,-2.968701305,85,1962,1967,,1962:1967:85,standing,no,,https://en.wikipedia.org/wiki/Liverpool_Metropolitan_Cathedral,,
Liaodi Pagoda,Buddhist,Buddhist,pagoda,China,Asia,38.51042772,114.9966463,84,1001,1055,,1001:1055:84,standing,no,Tallest pre-modern pagoda,https://en.wikipedia.org/wiki/Liaodi_Pagoda,,
Mosque-Madrassa of Sultan Hassan,Islamic,Islamic,mosque,Egypt,Africa,30.03199057,31.25653924,82,1356,1363,,1356:1364:82,standing,no,Mamluk architecture,https://en.wikipedia.org/wiki/Mosque-Madrasa_of_Sultan_Hasan,https://islamicart.museumwnf.org/database_item.php?id=monument;isl;eg;mon01;16;en,
Ivan the Great Bell Tower,Christian (Orthodox),Christian (Orthodox),cathedral,Russia,Europe,55.75074852,37.61809467,81,1505,1508,,1505:1508:81,standing,no,Height ~81 m,https://en.wikipedia.org/wiki/Ivan_the_Great_Bell_Tower,,
Hwangnyongsa,Buddhist,Buddhist,pagoda,Korea,Asia,35.78887463,129.2266619,80,553,644,1238,553:644:80,destroyed,no,,https://en.wikipedia.org/wiki/Hwangnyongsa,,
Mosque of Muhammad Ali,Islamic,Islamic,mosque,Egypt,Africa,30.02891251,31.25991598,80,1830,1857,,1830:1857:80,standing,no,Ottoman mosque in Cairo Citadel,https://en.wikipedia.org/wiki/Muhammad_Ali_Mosque,,
Porcelain Tower of Nanjing (original),Buddhist,none,pagoda,China,Asia,32.00905846,118.7827936,79,1412,1431,1856,1412:1431:79;2010:2016:79,destroyed,no,Original destroyed; modern reconstruction exists. Exact location not found,https://en.wikipedia.org/wiki/Porcelain_Tower_of_Nanjing,https://www.mdpi.com/2073-445X/11/7/978,
Minaret of Koutoubia,Islamic,Islamic,mosque,Morocco,Africa,31.62407408,-7.993260281,77,1150,1195,,1150:1195:77,standing,no,Height ~77 m,https://en.wikipedia.org/wiki/Kutubiyya_Mosque,,
Gopuram of Murudeshwar Temple,Hindu,Hindu,gopura,India,Asia,14.09420819,74.48509194,75,1990,2008,,1990:2008:75,standing,no,Modern gopuram 75 m. No source found for construction start other than facebook post,https://en.wikipedia.org/wiki/Murdeshwar,,
St. Mary's Cathedral (Sydney),Christian (Catholic),Christian (Catholic),cathedral,Australia,Oceania,-33.87125792,151.2133138,75,1868,1928,,1868:1928:75,standing,no,Twin spires 75 m,"https://en.wikipedia.org/wiki/St_Mary%27s_Cathedral,_Sydney",,
Sri Ranganathaswamy Temple,Hindu,Hindu,gopura,India,Asia,10.86230032,78.69099441,73,1500,1987,,1500:1987:73,standing,no,Rajagopuram 73 m,"https://en.wikipedia.org/wiki/Ranganathaswamy_Temple,_Srirangam",,
Qutub Minar,Islamic,Islamic,mosque,India,Asia,28.52435072,77.18551337,73,1192,1220,,1192:1220:73,standing,no,Height 72.5 m; tallest brick minaret,https://en.wikipedia.org/wiki/Qutb_Minar,,
York Minster,Christian (Catholic),Christian (Anglican),cathedral,United Kingdom,Europe,53.96227428,-1.082328933,72,1230,1472,,1230:1472:72,standing,no,Largest medieval Cathedral in the United Kingdom,https://en.wikipedia.org/wiki/York_Minster,,
Selimiye Mosque,Islamic,Islamic,mosque,Turkey,Europe,41.67778516,26.55883261,71,1568,1575,,1568:1575:71,standing,no,Designed by Mimar Sinan,"https://en.wikipedia.org/wiki/Selimiye_Mosque,_Edirne",,
Tikal Temple IV,Maya,Maya,pyramid,Guatemala,North America,17.22351555,-89.63005081,70,731,741,,731:741:70,standing,no,"Height includes roof comb. No source for started construction, assumed 10 years",https://en.wikipedia.org/wiki/Tikal_Temple_IV,,
Cathedral of St. John the Divine,Christian (Episcopal),Christian (Episcopal),cathedral,United States,North America,40.8039747,-73.96238679,70,1892,2025,,1892:2025:70,standing,no,Still incomplete; height ~70 m,https://en.wikipedia.org/wiki/Cathedral_of_St._John_the_Divine,,
Notre-Dame de Paris,Christian (Catholic),Christian (Catholic),cathedral,France,Europe,48.85285731,2.349856949,69,1163,1345,2019,1163:1345:69;2020:2024:69,standing,no,Spire destroyed 2019; height ~69 m,https://en.wikipedia.org/wiki/Notre-Dame_de_Paris,,
Westminster Abbey,Christian (Catholic),Christian (Anglican),cathedral,United Kingdom,Europe,51.49937815,-0.127727438,69,1245,1269,,1245:1269:69,standing,no,,https://en.wikipedia.org/wiki/Westminster_Abbey,,
Salt Lake Temple,LDS,LDS,cathedral,United States,North America,40.77048499,-111.8919768,68,1853,1893,,1853:1893:68,standing,no,Height ~68 m,https://en.wikipedia.org/wiki/Salt_Lake_Temple,,
Glasgow Cathedral,Christian (Catholic),Christian (Anglican),cathedral,United Kingdom,Europe,55.86306085,-4.234894262,68,1197,1258,,1197:1258:68,standing,no,Assuming construction completed within William de Bondinton's lifetime,https://en.wikipedia.org/wiki/Glasgow_Cathedral,https://web.archive.org/web/20210812180445/https://www.glasgowcathedral.org/history/,
Pagoda of Fogong Temple,Buddhist,Buddhist,pagoda,China,Asia,39.56524519,113.1819601,67,1055,1056,,1055:1056:67,standing,no,Tallest wooden pagoda,https://en.wikipedia.org/wiki/Pagoda_of_Fogong_Temple,,
Pyramid of the Sun,Teotihuacanos,Teotihuacanos,pyramid,Mexico,North America,19.69214418,-98.84444237,66,150,350,,150:350:66,standing,no,,https://en.wikipedia.org/wiki/Pyramid_of_the_Sun,https://digitalcommons.usf.edu/kip_articles/6005/,
"Brihadeeswarar Temple, Thanjavur",Hindu,Hindu,gopura,India,Asia,10.78254979,79.13123744,66,1003,1010,,1003:1010:66,standing,no,Vimana height ~66 m,https://en.wikipedia.org/wiki/Brihadisvara_Temple,,
Minaret of Jam,Islamic,Islamic,mosque,Afghanistan,Asia,34.39644884,64.51567147,65,1190,1194,,1190:1194:65,standing,no,unknown start date,https://en.wikipedia.org/wiki/Minaret_of_Jam,,
Angkor Wat,Hindu,Buddhist,temple,Cambodia,Asia,13.41231007,103.8669244,65,1113,1150,,1113:1150:65,standing,no,Originally Hindu; now Buddhist,https://en.wikipedia.org/wiki/Angkor_Wat,,
Sultan Ahmed Mosque (Blue Mosque),Islamic,Islamic,mosque,Turkey,Europe,41.00511129,28.97682487,64,1609,1616,,1609:1616:43,standing,no,Dome height ~43 m,"https://en.wikipedia.org/wiki/Blue_Mosque,_Istanbul",,
"ChristChurch Cathedral, New Zealand",Christian (Anglican),Christian (Anglican),cathedral,New Zealand,Oceania,-43.53092502,172.6375057,63,1864,1904,2011,1864:1904:63,ruined,no,Collapsed in 2011 earthquake,"https://en.wikipedia.org/wiki/Christ_Church_Cathedral,_Christchurch",,
Ruwanweli Maha Seya,Buddhist,Buddhist,stupa,Sri Lanka,Asia,8.349880272,80.3966266,55,-161,-140,1215,-161:-140:55;1873:1940:103,Destroyed by Kalinga Magha,no,Originally ~103 m; rebuilt,https://en.wikipedia.org/wiki/Ruwanwelisaya,https://en.wikipedia.org/wiki/Kalinga_Magha,
Hagia Sophia,Christian (Orthodox),Islamic,cathedral,Turkey,Europe,41.00819275,28.97962622,55,532,537,,532:537:55;1580:1585:60,standing,no,"dome 55, minarets 60m, constructed 1000 years later",https://en.wikipedia.org/wiki/Hagia_Sophia,https://en.wikipedia.org/wiki/Mimar_Sinan,
Mahabodhi Temple,Buddhist,Buddhist,gopura,India,Asia,24.69582616,84.99145157,55,200,250,,200:250:55,standing,no,Height ~55 m,https://en.wikipedia.org/wiki/Mahabodhi_Temple,,
Todai-ji Daibutsuden,Buddhist,Buddhist,pagoda,Japan,Asia,34.68907746,135.8400341,48,743,752,,743:752:48,standing,no,Rebuilt; height ~48 m,https://en.wikipedia.org/wiki/T%C5%8Ddai-ji,,
"St Basils, Moscow",Christian (Orthodox),Christian (Orthodox),cathedral,Russia,Europe,55.75236412,37.62295555,47,1555,1561,,1555:1561:47,standing,no,,https://en.wikipedia.org/wiki/Saint_Basil%27s_Cathedral,,
Pyramid of the Moon,Teotihuacanos,Teotihuacanos,pyramid,Mexico,North America,19.69921304,-98.84373529,43,100,400,,100:400:43,standing,no,,https://en.wikipedia.org/wiki/Pyramid_of_the_Sun,https://www.cambridge.org/core/journals/ancient-mesoamerica/article/moon-pyramid-project-and-the-teotihuacan-state-polity/B9BCECCEC6B02B87AB40A4A778DEFD0C,
"Akshardham Temple, Delhi",Hindu,Hindu,temple,India,Asia,28.61225229,77.27719585,43,2000,2005,,2000:2005:43,standing,no,Central shikhara ~43 m,"https://en.wikipedia.org/wiki/Swaminarayan_Akshardham_(Delhi)#:~:text=Swaminarayan%20Akshardham%20is%20a%20Hindu,in%20the%20presence%20of%20A.%20P.%20J.",,
Great Synagogue of Budapest,Jewish,Jewish,synagogue,Hungary,Europe,47.49584444,19.06039873,43,1854,1859,,1854:1859:43,standing,no,Height ~43 m,https://en.wikipedia.org/wiki/Doh%C3%A1ny_Street_Synagogue,,
Cathedral of Brasília,Christian (Catholic),Christian (Catholic),cathedral,Brazil,South America,-15.79851299,-47.8755156,40,1958,1970,,1958:1970:40,standing,no,Hyperboloid structure,https://en.wikipedia.org/wiki/Cathedral_of_Bras%C3%ADlia,,
"El Castillo, Chichen Itza",Maya,Maya,pyramid,Mexico,North America,20.68278118,-88.56873734,30,800,1100,,800:1100:30,standing,no,Height ~30 m including temple,"https://en.wikipedia.org/wiki/El_Castillo,_Chichen_Itza",,
